Week,Measure,Value
2019-11-10,Bird Seed,13
2019-11-17,Bird Seed,9
2019-11-24,Bird Seed,10
2019-12-01,Bird Seed,11
2019-12-08,Bird Seed,11
2019-12-15,Bird Seed,13
2019-12-22,Bird Seed,12
2019-12-29,Bird Seed,12
2020-01-05,Bird Seed,11
2020-01-12,Bird Seed,12
2020-01-19,Bird Seed,12
2020-01-26,Bird Seed,9
2020-02-02,Bird Seed,12
2020-02-09,Bird Seed,11
2020-02-16,Bird Seed,11
2020-02-23,Bird Seed,12
2020-03-01,Bird Seed,9
2020-03-08,Bird Seed,11
2020-03-15,Bird Seed,13
2020-03-22,Bird Seed,21
2020-03-29,Bird Seed,26
2020-04-05,Bird Seed,27
2020-04-12,Bird Seed,28
2020-04-19,Bird Seed,31
2020-04-26,Bird Seed,32
2020-05-03,Bird Seed,27
2020-05-10,Bird Seed,31
2020-05-17,Bird Seed,33
2020-05-24,Bird Seed,30
2020-05-31,Bird Seed,25
2020-06-07,Bird Seed,29
2020-06-14,Bird Seed,26
2020-06-21,Bird Seed,21
2020-06-28,Bird Seed,20
2020-07-05,Bird Seed,19
2020-07-12,Bird Seed,18
2020-07-19,Bird Seed,17
2020-07-26,Bird Seed,16
2020-08-02,Bird Seed,16
2020-08-09,Bird Seed,15
2020-08-16,Bird Seed,12
2020-08-23,Bird Seed,14
2020-08-30,Bird Seed,14
2020-09-06,Bird Seed,14
2020-09-13,Bird Seed,13
2020-09-20,Bird Seed,12
2020-09-27,Bird Seed,15
2020-10-04,Bird Seed,15
2020-10-11,Bird Seed,15
2020-10-18,Bird Seed,14
2020-10-25,Bird Seed,13
2020-11-01,Bird Seed,14
2020-11-08,Bird Seed,15
2020-11-15,Bird Seed,17
2020-11-22,Bird Seed,17
2020-11-29,Bird Seed,15
2020-12-06,Bird Seed,14
2020-12-13,Bird Seed,20
2020-12-20,Bird Seed,18
2020-12-27,Bird Seed,21
2021-01-03,Bird Seed,17
2021-01-10,Bird Seed,20
